date,merchant,amount
2021-05-10,SQ*uber eats (ONLINE),28.07 USD
10/9/2020,SQ*uBeR EatS *PMT ," 1,603.08USD"
02/28/2020, PAYPAL*tarGeT,$841.83
Nov 24th 20,POS walmArt SUpERceNteR,1293.63USD
2020-9-7,SQ*MACY'S (ONLINE) ,"1,238.30 USD"
29-6-24,#Starbucks  Coffee,"$2,426.34"
Jun 15th 20,#McdONalds,USD2448.04
Nov 23rd 23, [] PAYPAL*spotify.COM ,2007.86
May 18th 22,Wa-Mart INC,2109.40 USD
15-05-21,+  Uber,1761.91USD
Nov 23 2024,UBER-cItY  utiLIties  (ONLINE)," $1,974.88"
11/26/2023,ACH Wal-Mart ,$55.41 
08/28/2023,target  [AUTO]  [], 231.54 USD
2021-10-15,#nEtFliX (ONLINE),678.32
1/2/2021,wal-mart  .*,"2,171.33 USD"
07-01-22,Shhll  Gas  *PMT  ,$690
14 Jun 2021,Chipotle,1069.24 USD
2023-11-19,SQ*Car Wash Pro.COM,$935.10
Nov 20th 24,LOWE'S  INC  ,1773.89 USD
Jun 2nd 22,PAYPAL*STARBUCKS  [AUTO],1854 USD
2021-9-9,InStacArT  [AUTO]  [TRIP],1425
2024-02-09,UBER-Airbnb (ONLINE) ,USD1995
2020-05-20,COstcO,"$1,413.39"
28 May 2021,PAYPAL*uber.COM,USD 263
13-7-22,PAYPAL*Instacart  (), 537.58 USD
2020-07-31,POS InStacaRt,USD -306.60
Oct 17th 20,#tArgEt StoRe (OzLINE),"$2,056.04"
Jul 6th 21,uber  IN(EATS)C  ,201.87
10 Jul 22,spotiy INC,"1,516.79 "
May 15th 20,airbnb  *PMT,1910.19
2022-07-21,UBER-GYm  mEMErSHIP,"-1,164.47USD"
Jul 23 2023, ? SQ*AppLe,1071
1/20/2021, Gogle LTD,"$ 1,164.80"
2022-03-01,google play (ONLINE(EATS)) , USD955.66
10/12/2024,.*UBR UBER-UBER *TRIP LT,USD28.52
Jun 4th 24, POw Uber *Trip LTD,2213.87
May 26th 21,LYFT.COM,$1960.74
Feb 3rd 20,SQ*PANDA EXPRESS [AUT],$476.72
2024-08-20,(EATS) ACH uBer INC,69.96 USD
2023-12-21,COSTCO  WHOLESALE  [AUTO],1567.76 USD
2024-2-23,lyft.COM ?,"1,447.15"
Feb 15 2022,googe.COM ,"1,805.29"
2020-07-03,  POS  LoWE's.COM  ,USD 769.66
2021-4-9,Car Wash Pro [AUTO],$1258.10
Jul 29th 23,UBER-google play (ONLINE),"2,418.67USD"
8-11-21,ACH STARBUCKS COFFEE,"2,114.14USD "
22 Oct 24,  #Starbucks  [AUTO],USD -1597.55
Jun 27 2020,[] target.COM,$ 1048.38
29-11-21, SQ*Lyft.COM," 2,399.44"
11/13/2020,POS Wax-Mart,$688.35
Feb 27 2023,#APPLE  SENVICES  (ONLINE)  ,1541.61USD
7/3/2020,INSNacarT (ONLINE),$451.92
13-12-22,ACH netflix,$2264.37
2020-11-15,PAYPAL*SPotIfY PMnT INC,$55.95 
27 Jul 24,UBER-GOOGLE  PLAY  ,USD 2443
18-9-21,cosTCo [AUTO],USD842.77
12/9/2024, #TARGET (ONLINE) ,"1,186.39"
2 Nov 21,SQ*lyft rode.COM,USD1701.40
17 Jan 23,SQ*DOorDaSh [AUTO], 46.84 USD
13 Mar 2024, .*UBR aIrbnB PAY (ONLIE),$ 561.27
Jul 14 2021,[TRIP] ACH shel INC,528.82
Apr 15th 22,STARBUCKS  *PMT,USD3.72
14 Jan 24,AMZN LTD,789.26
10 May 20,POS G(EATS)OoglE *seRviCes INC,1915.12USD
21 Mar 21,ACH  city  utilitiRs.COM,"2,098.57 USD "
Nov 19th 21,ubEr  TeCHNoLOGIes  (ONLINE),"$2,080.71"
10/15/2023, #sPOtiFY pMNT,61.30USD
05/27/2024,ACH OlIve GaRDCn LTD ,USD 1235
10/4/2024,  lyft  ride.COM  ,79.52 USD
Jul 9 2021,hO[]me DEpot [AUTO] ,-146
Dec 25 2021,#HOME DEPOT PMT,USD 908.18
Apr 08 2022,ACH  SPOTiFY  Pmnt  [AUT(EATS)O],$940 
11 Jun 21,apple  services  [AUTO],51
07/13/2020, UBER-mcdonald's [AUTO],"-1,148.19USD"
2023-6-7, + #shell oil INC,$ 2329.39
7/26/2020,UBE-CoSTco  INC  (EATS),$ 2026.45
2024-1-16,LYFT RIDE [AUTO],$1198.79
Nov 24 2024,Macy'S.COM (),1126.40
Feb 15 2021,UBER-amazon marketplace INC,$ 93.17
10/27/2024,#airbnb  INC  ,570.34
Jan 21 2024,SQ*cOsTco WHOLEsaLE *PMT ?,$ 849
08-09-22,SQ*SUshI  houSe  LTD,23.74
2022-08-17,ACH STARBUCKS," 2,151.79 USD"
10 Jan 22,UBER-WALMART  SUPERCENTER  [AUTO],1627USD
Mar 30th 22,PAYPAL*shell oil .*UBR ,USD 568.38 
8 May 2022, wamaRT.COM,1015.61
11 Aug 2021,POS amazon marketplace ,899.72
27-10-21,walmart [AUTO] [TRIP],$2486.46
2024-12-10,.*UBR ACH Mcdonalds *PMT ,1827
Aug 4th 20,[] UBER-WALMART SUPERCENTER (ONLINE),1827.09USD 
31-12-24, Home Depot.*UBR (ONLINE),$ 2173
2020-05-28,#lyft ride LTD,$142.22
May 14 2024,PAYPAL*airbnb.COM, 1725
08-10-24, INSTacaRT *PMT,$314
Oct 23rd 23,UBEr *trIp [AUTO] ,555.13
08/28/2021,APPle INC,"2,163.63"
24 Apr 23,UBER-AMZN,1156.26 USD 
2022-1-29,ACHUber Eats [AUTO], USD 1525
2020-10-26,INSTACART.COM,USD 738.47 
2020-4-13,NETFLIX +,1531.52 USD
8 Aug 22,starbucks.COM (),$ 991.17
12-8-20,.*UBR iNSTAcArt INC,$2035
16 May 22,() PAYPAL*LYFT RIDE LTD,"$2,359.90"
24-02-21,PAYPAL*DOkrDASh*orDer  ,USD2149.27
5-1-23,AH Instacart LTD ,$1998.33
11-8-22,PAYPAL*DOORDASH*ORDER  [AUTO]  (EATS),$991
10-10-21, PAYPAL*SPOTIFY [AUTO] ,USD 1897.95 
7 Feb 20,  PAYPAL*Instacart  INC,"1,181.41 USD"
21-1-22,.* ACH airbnb LTD,1722USD
Jun 4th 20,Tardet,USD1732.68
7 May 2024, POS GOogLe *sERvICes [AUTO]," USD 2,212.07"
Jul 11th 22,UBER-Airbnb Pay.COM,1545.30
2022-03-03,sTaRBucks  LTD,USD 349 
Jul 24 2020,mcdonld's  *PMT,1710
Nov 18th 20,+ ACH DwOrdasH (ONLINE),262.40 USD
Sep 21st 21,sTArBUcKS INC,827.12
1-7-21,MCy's.COM,USD 1277.22 
Mar 6th 22,POS NETFLIX (ON+LINE),$ 923.33
Jun 11 2023,POS InsTACart LTD .*,"$ 1,153.76"
Jul 19 2020,UBER-STARBucKs INC .*,1362.48
5 May 2024,Starbucks  LTD,326USD
Oct 13 2020,(EATS)  ACH  sTaRMucKs,"USD2,115.18"
Nov 25 2023,SQSTARBUCKS  COFFEE, 838.60 
Jul 7 2023,#DOORDASH*ORDER  *PMT,336.39USD
8 Sep 23,PAYPAL*uber (ONLINE) ,USD 954.85
Mar 20 2024, + UBER-INSTACART.COM,-1293.04USD
18-7-20,tyrget,$2018.05
26 Sep 20,UBER-Wal-Mart,USD 429
29 Dec 2022,UBER-INSTACART *PMT,$1105.31
Jul 23 2023,PAYPAL*Target [AUTO] ,170
9 Oct 2022,AIRB.*UBRNB  ,$ 582.76
Jan 29th 20, PAYPAL*NETFLIX.COM *.*UBRPMT,"USD 1,943.36"
Mar 22 2023,ACH LYFT.COM ,2481.19USD
Jul 25 2020,SQ*WAl-art, 2316.74USD 
2024-8-31, SQ*CITY UTILITIES,USD-1607.71
10 Jan 23,POS instacart [AUTO],"$2,499.11"
21 Mar 21,SQ*TARGET [AUTO],970.61
2021-12-31, Starbucks Covfee,159.92USD 
25 May 22,SQ*Apple Servic.*es [AUTO ,USD1615.16
1/21/2021,lft ride *PMT [],953.56
Mar 13 2021,PAYPAL*AIRBNB.COM,2477
07/02/2020,uber aAUTO], 645.62
Aug 28 2024,SQ*Amazon  Marketplace.COM  , 1959
2022-01-05,UBER-COSTCO WHOLESALE (ONLINE) ,"2,295.86USD"
2023-4-18,GYM  MEMBERHIP.COM,$203
Nov 21 2021, () SQ*nETFLiX INC ,1649 
20 Sep 20, Instacart.COM,1280.27 USD
2021-11-05,LOWE'S  [AUTO]  .*,1613.81
10/16/2023, NETFLIX.COM *PMT,"1,059.00 USD"
Jun 8th 21,P.*UBROS Netflix.Com LTD,"USD 2,190.86"
Sep 27 2020,Instacat (ONLINE),832.84USD
2022-03-04,intAcART LTD,1154.09USD
08-09-23,UBER-LOWE'S [AUTO],$ 1477.16
17-09-22,AYPAL*TARGeT  StoRE,$ 1810.78
2022-01-09,STARBUCKS *PMT, 561.88
Oct 12th 23,  POS  NETFLIX.COM.COM,$ 2007.11
Apr 29 2023, SQ*chIPOtlE.COM +,"$ 2,030.53"
02/28/2024,MCDonALD's [AUTO],515USD 
5 May 21,Starbucks (ONLINE),$1608.29
11/18/2020,.*UBR WALMART SUPERCENTER (ONLINE),$2340
4-6-23,WAL-mARt [TRIP],$ 2168.66
Aug 30th 22,SQ*Apple (NLINE),"$ 2,101.41 "
2021-02-25,POS Apple.Com/Bill (ONLINE), $852.87
2021-03-07,Walmart  Supercenter.COM, 428.03
Apr 11th 20,  [TRIP]  ACH  netflix  *PoT,USD150.17
17-07-20,SQ*Spotify Pmnt,$ 225.51
08/04/2021,PAYPAL*COstco  *PMT,$3.91
30-12-21,macy's [AUTO],1079.26
22-4-21, PAYPAL*doordash*order LTD,USD 1475.69
2024-01-25,PAYPAL*MCD  [AUTO],"1,984.43"
4/1/2022,GOOGLE PLAY INC,345.70 USD
2021-6-13,Mcd *PMT,603
10/10/2023,ACH  sTArbUcKS  CoFfeE  INC,USD 328.71
2024-02-10,APPLE.COM,"1,138.80"
9-2-22,SQ*spotify pmn.CO+M ,2217.22USD
2020-06-21,PAYPAL*APPle LTD ,$2050.43
Jul 17th 21,  #UBER  LTD,"2,495.95"
03-10-22,DoOrdASh  INC,"USD2,142.81"
Nov 2 2020,POS  SHELL  [AFTO],USD 278.00
17-01-20,AppleECom/Bill INC," 1,262.05USD"
Feb 23rd 23,ACH city utilities *PMT," 2,488.04USD"
25 Mar 22,  LFT,107.15
Jul 12th 20,SQ*TaRGET INC,"$2,040.75"
1-9-24,POS MACY'S [AUTO], 720 USD 
May 27 2022, CITY UTILITIES (ONLINE),1398.89
09-01-20,[] S*Spotify LTD,$2477
Mar 8th 23, UBER-sbell gas LTD,2489
15-11-23,costco ,"$1,800.96"
2024-08-08,POS  costco  wholesale  ONLINE),USD 323.57
14 May 2023,.*UBR PAYPAL*bEsT buy.COM , 2474
06/30/2021, PAYPAL*Amazon (),$ 177.76
11/4/2021,PAYPAL*SHELL  GAS  LTD, 962.84USD
25-03-21,UBER-DOORDASH *PMT,681.35
Nov 12 2022,SPOTIFY, 182.42USD
2021-08-21,() aiRbNb paY,932.23 USD
26-10-23,SQ*shElL,527.73
Dec 5 2023,STARBUCKS LTD,"$ 1,862.22"
2024-3-5,SQ*Mcdonald'S LTD,1454.28
2023-11-10,UBER-airBnB (ONLINE),USD 885.43
2021-5-1,  []  PAYPAL*Netflix.Com  [AUTO],"$ 1,746.30"
2023-04-23,[TRIP] DOORDASH*ORDER INC,$157.15 
09/14/2020, ACH Uber.COM ,1428 
04/11/2024,#netflix INC,397.81USD
20 Nov 2022,PAYPAL*Apple Services [TRIP],$ 691.45
May 29th 24, Car wASH pHO .*UBR,$ 881.62
Jul 23rd 23,ACH INsTaCART (ONLINE),1636 USD
May 12th 22,+  POS  Netflix,"1,632.31 USD"
2023-02-10,  PAYPAL*ShelL  oIl,USD 2431.81
16-1-23, PYPAL*UBER TECHNOLOGIES [AUTO],1862.76 USD
Dec 21 2020,.*UBR ACH netflix.com,USD1059
05/24/2021, PAYPAL*Instacart IC, USD917.34
Feb 26 2022,UBER-costco wholesale [],"1,633.05"
04/28/2022,ShELl *PMT, USD 617.07
Jul 08 2023,UBER-APPlE,1317.12
Dec 18th 21,COSTCO  [AUTO],1573.14 
Dec 8th 22,POS GOOGLE PLAY (ONLINE) ,251.87USD
2021-01-03,#MCD (ONLINE),"$ 1,696.41"
2020-04-07,POS  Lyft,USD1605
29-12-20,POS Doordash [AUTO],989
Apr 6th 23,PAYPAL*googUe *services ,"-1,441.72USD"
04-07-24,ACH APPLE.COM/BILL INC ,809.73USD
Dec 29 2021,ACH CHIPOTLE [AUTO],USD 700.58
24-06-21,costco  .*,$811.12
3/25/2021,UBER-LYFT  .*UBR  ,11.44 USD
10/27/2024,shell  gas,899.32
Jan 10th 21,ACH  Mcdonalds  LTD  ,448.73
Jun 09 2020,#mcd *PMT, USD2447.53
12/23/2024,ACH  UBER  LTD,USD530.02
17 Aug 22,(EATS) SQ*Gym mEMbeRSHip *PMT,2375USD
26 May 2021,Shell Gas INC,USD462.37
19-05-20,#SHELL *PMT (EATS),$ 934.15
Apr 28 2023,Uber INC,"$ 2,472.72"
17 Sep 22,Starbucks.COM,1294.90USD
Sep 4th 23,#olive  garden  LTD,USD672.63
03-08-22,  SPOTIFY  INC  .*,"$ 1,119.56"
23-10-20, Appl.Com/Bill (ONLINE) ,$1115.61
2023-04-22,PAYPAL*airbnb.COM .*,USD1457.91
28 Feb 2021,UBER-lyft  (), USD 2114.77
May 31st 21,POS Gog.*UBRle Play ,503.77
2/24/2023,PAYPAL*Starbucks [AUTO],"USD 1,014.86"
Dec 20th 21,POS instacSrt,433 USD
2/21/2022,.*UBR  AMAZON  LTD,963.23USD
Aug 3rd 24,POS amZN (ONLINE) (EATS),USD 1156 
2021-6-5,PAYPAL*spotify *PM?T,USD779.06
5/14/2022,UBER-Google  .*UBRPlay  (ONINE), 1188.71USD
26 Aug 2020,UBER-OorDasH*OrdEr, 1008USD
2020-05-30,#Netflix.Com  TD  ,743.37
Nov 21st 24, POS MCD INC (EATS),$ 561.90
19-01-23,GOOGLE *SERVICES [.*AUTO],USD97
3/28/2024,mcdoNAlDs *PMT ,$ 1810.64 
25 Feb 20,.* SQ*cITY uSIliTieS,2275USD
Feb 28 2021,ACH doordash *PMT,501.66
11 May 23,Panda Express,USD1384
Jul 19th 20,city utilities INC,"1,251.27USD"
24 Dec 2022,#WLmArt INC,USD 1427
2022-2-4,Car Wash Pro INC,576.81
Jan 29th 21,UBER-Amazon INC ,1205.97
5/31/2022,SQSAIRBNB INC," 1,451.64 USD"
07-01-23,SQ*Apple  AUTO],USD 376.16 
15-2-23,+ #UBER *TRIP *PMT ,1249.35
19 Jun 2022,PAYPAL*LYft.COM,1441.25USD
2022-12-6,starbucks *PMT,759.34USD
28-2-21,SQ*Doordash  [AUTO],480.99
21-1-20,SQ*Walmart  Supercenter  LTD,976.93USD
7 Jan 2024,  ACH  macy's  (ONLINE),706.09
16-05-23, sPotify LTD, USD 655
6/22/2023,PAYPAL*APple sErVIces LTD," 1,849.60"
10/31/2020,SuShI hoUSe ,"2,472.84"
28-11-21,lyft ride *PMT,"$2,385.82"
Jul 17th 23,ACH GYm MEmBerShIp INC,1556.42
Apr 13th 23,#WAL-MART LTD,$2337.44
Jan 18th 23, city utilities *PMT ,$1430.84
2023-4-16,  [TRIP]  PAYPAL*GoOgLe  PLaY  xTD,499.21 USD
Oct 3rd 20,COSTCE (ONLINE),"USD2,239.16 "
Jul 29 2022,UBE-UbeR *tRIp INC ,274.55
2021-10-21,lyft ride,2269USD
2022-4-10,UBER-apple  services,758.74USD
14 Oct 22, .* PAYPAL*Target Store AUTO],"$ 1,731.55"
20 Feb 2024,UBER-NetfXix *PMT ,USD1398
2020-12-5,Mcdonalds INC +,"1,282.56 USD"
24 Oct 2020,UBER-NETFLIX.CO *PMT,"2,144.27"
20-6-20,()  Airbnb  Pay  *PMT,$ 416.27
16-12-21,#amazon marketplace LTD ,-613.79
2023-11-06,#home depot,$1408.80
Jan 9th 20,ACH InSTaCaRt iAUTO],"USD2,223.27"
2021-9-1,PAYPAL*WAL-MART ,2351.14 USD
Jan 28 2021,.*  #Starbucks,227.46 USD
22 Nov 2023,POS GYM MEMBERSHIP,USD1871
Apr 19 2021,PAYPAL*airbnb [AUTO],USD 764.08
2022-1-5,ACH lowe's,USD 1661.25
8/9/2023,COSTCO WHOLESALE *PMT,$256.97
27-2-24,SQ*starbucks INC, -2094.64
9/25/2020, #DOORDASH .*UBR,1595.04 
Jul 11th 20,ACH apple.com/bill (ONLINE),16.92 USD
Jan 10th 21,home dpot.COM , 150.68USD
30-04-24,UBER-MCDONALDSA(ONLINE),$ 894.58
2020-3-29,SPoTIfY,"1,356.14USD"
Jan 5 2023,PAYPAL*lyft ride *PMT ?,790.95 USD
Feb 18 2020,ACH CoSTCo WHoLESAlE [AUTO],82 USD
2024-01-17,#Airbnb  LTD,188.98
11-04-23,UBER-Car Wash Pro *PMT,"2,382.98USD"
2022-12-02,#aIrbNb  *PMT,$ 786.95
Apr 21 2022,? lAYPAL*gym membership INC,USD 1024
19 Feb 2021,UBER-MRd INC,2475
7/22/2021,Doordash  [AUTO],1723.31
30 Jun 2020,POS Doordash LTD,1785.56
13 Feb 2020,GYM  MeMbErSHIP  *PMT,"USD 1,605.07"
21-09-21,#netflit,$ 2010.03
29-01-21,P(EATS)OS SHELL GAS [AUTO],777.54
9-9-24, UBER-Uber Eats,1591.43USD
Aug 24th 24,BER-City  UTILities,782.99USD
31 Aug 21,POS  homv  DePot  INC,1033.80USD
11/13/2020,#panda express *PMT,"1,042.96USD"
2024-06-02,UBER-APPL  INC,USD 1613
2020-08-02, UBER-Doordash [AUTO] ,"USD 1,350.27"
May 3rd 23,SQ*Doordash  INC, -352USD
5/8/2023, [] UBER-WAL-MART *PMT, $1630.28
May 2nd 23,COstco  WHOLeSalEvLTD,2022.91
Oct 21st 24,PAYPALXinstacart [AUTO],"1,197.54"
03-02-24,SQ*Spotify *PMT,"USD1,838.58"
8/25/2022,ACHRshElL GAs (ONLINE), $2214.86
Feb 29 2024,ACH  airbnb  INC,$ 1133
2021-4-20,PAYPAL*shELL  [AUTO]  ,"USD 1,695.93 "
2022-01-24,PAYPAL*Apple Services ,$903
05/25/2024,  SQ*apple  services  LTD  ,USD1323
Jun 24 2022,cstco wholesale +,"USD 1,807.00"
Feb 19th 20,PAYPAL*olive garden LTD, USD186.39 
01-09-23,gOoGlE *SeRViCes *PMT,773.10
7/1/2020,Shell Gas [AUTO],$1802.93
8 Dec 2023,HOME DTPOT LT+D ,1300
2021-8-4,LYfT  RIdE  (ONLINE),$ 415.94
Aug 24 2022,#TARGET ,$ 1359.47
06/10/2021,Spotify (ONLINE),USD15.66
09-07-24,POS  Lyf?t  Ride.COM,$701.97
Apr 10 2024, ACH target store,"$1,822.80"
2020-4-27,POS TARGET,"2,123.86"
May 17th 20,POS yM mEmbeRsHip INC ,975.04 USD
8/14/2021,neTFLIx LTD,"1,269.45 USD"
2023-02-24,#AMAZON [AUT+O],1731.50 USD 
Mar 8 2020,#CosTcO wHoLESAlE [AUTO],"1,728.17 USD"
5 Aug 2022,amzN  [AUTO],$1523.88
Jul 18 2020,#Apple [AUTO],"2,088.52"
2021-07-26, PAYPAL*mcdonalds LTD,USD 1146.74
2024-03-28,ACH  SUSHI  HOUSE.COM  ,$2243.65
May 12th 20,ACH SSHI HOUSE *PMT,USD1209.24
Jan 05 2020,POS  panda  express,2291.66
4 Oct 22,google  NC, $ 928.47
27 Aug 23,UBER LTD,USD1728.99 
2023-04-03,A()CH  gYMmembErshIp  *PMT,586.81USD
Oct 27 2021,  UBER-Netflix  (ONLINE),$1313.13
Jun 9th 23,.* SHLL LTD," $ 2,449.33 "
Apr 05 2020,POS SPOTzFY,USD 1522.37
Jun 23rd 24,co.*UBRstco wholesale (ONLINE),"1,292.17USD "
2-3-24,lBER-sPoTIFy  (ONLINE),-738.82 USD
26-07-24,SQ*doordash,-566.42
24-04-22, Instacart.CM,"$ 2,451.22"
02-06-23, ACH best buy,-1471.52 USD
25-10-22,POS  Spotify  Pmnt  *PMT,USD 898.51
2021-02-22,walmar  supercenter  *PMT,USD1512
Jan 15th 24,POS NetFLix.OoM.COM [],1201USD
28 Jan 23, ACH Costco Wholesale *PMT,USD844.98
2024-06-03,UB()ER-iNStACaRt (ONLINE) ,"$1,917.32"
29-11-22,[TRIP] mcdonald's, USD 1870.86
2022-07-14, ACH McDonAlDs,-347.39USD
Oct 4th 24,  PAYPAL*STARbuCls  CoFfee  *PMT,"1,117.60"
Nov 19th 22, [TRIP]ACH Shll INC, 951.91 USD
19 Feb 2023,PAYPAL*SPOTI?FY  LTD,$ 1566.14
2023-08-11,SQ*APPLe.cOm/BILl LTD,"1,885.11USD"
3/28/2024,UBE-LOWE'S (ONLINE) ? ,"USD 1,599.43"
2022-01-07,apple.com/bill  INC, $ 961
11 Apr 2021,POS Car Wash Pro.COM, USD1125.91
2023-8-4, ACH amZn,"USD 1,565.68"
5 Jan 24,[TRIP]  PAYPAL*APPLE.COM/BILL.COM,"USD1,450.13"
12/26/2022,POS ber *PMT,"1,900.21USD"
Sep 15 2023,[] #LYFT INC ,$905.72
16-5-20,(EATS) ACH StaRbuCKs cOFfEE LTD,735.98 USD
23 Feb 23,?  mAcY's  LTD,1246 USD
13-08-20,SQ*Panda Express *PMT,USD 205.05
2022-01-29, [] POS city utilities LTD,"2,416.08 "
4 Jan 2024,#Starbucks Coffee ,USD 1317.57
24-11-21,Apple  Services  *PMT, $2459.23
26 Dec 2021,Google LTD,1204.86 USD
Sep 15th 24,SQ*Shell Oil (ONLINE) [TRIP],"$ 1,030.74 "
26-10-20,POS Shell Oil.COM,USD772.01
Jul 15 2023,SQ*TARGET  *PMT,"$ 2,481.51"
06/24/2022,PAYPAL*loWe'S INC .*UBR,"USD 2,172.38"
Nov 23rd 23, SQ*MCDONALD'S [AUTO] ,USD1303.50
Apr 8 2021,PAYPAL*Instacart ,USD2016.45
2020-8-19,  #LYFT  RIDE  LTD, USD1606.49 
20-12-23, [] #tArgET sTOrE INC,USD904.76 
Mar 17th 21,POS CHIpoTle INC,"1,333.40USD"
Jul 11 2021,SQ*Spotify Pmnt INC,"1,168.82"
30-5-24,  SQ*Mcdonald'S  (ONLINE)  (),$704.61
Jul 7th 22,PO GYM MEMBERSHIP INC,$2044.95
Sep 30th 22,  stVrbucks,USD 155.14
09/27/2020,  ACH  INSTACART  [AUTO],598.82
8/14/2020,PAYPAL*DoordaSh.COM ,"-1,896.37"
26 Jul 23,ACH  Airbnb  Pay  (ONLINE),USD 2106.55
2022-08-19, SQ*instacart.*UBR [AUTO],"USD 2,100.22"
Oct 16th 23, (EATS) PAYPAL*netflix ,"-1,544.85USD"
28-4-22,#AMZN *PMT ,"USD 1,475.19"
26-06-23,() POS CAR WASH PRO *PMT,$ 1381.31
8/8/2022,UBER-AMAZON (ONLINE),"USD 2,420.46"
03-07-24,PAYPAL*STARBUCKS COFFEE [AUTO] ,1666.08USD
4 May 22, tArget SToRe.COM [TRIP],USD1005.91
17-12-21,  POS  shell  gas,919 USD
Mar 19 2021,PAYPAL*WALMART INC,$1767.30
Jun 6th 21,STARBUCKS COFFEE INC,USD703.14
Feb 17 2024,ACH Target [AUTO],$309.11
25 Jun 20,SQ*GYM  MEMBERSnIP  *PMT,409
12/1/2021, POS OLIVE GcRDEN,$2499.11 
25-12-23,PAYPAL*Mcdonalds (ONLINE) ?,815.56
01/02/2020,  POS  chipotle  ,"USD2,464.66"
2020-11-29,#LYFT  RIDE  (ONLINE),"$ 1,501.38"
2020-12-16,UBER-TARGET STORE,USD 1740
29-09-22,PAYPAL*Google []*Services ,"1,824.13"
Dec 17th 24,ACH Doordash [AUTO] ,261.43
4-7-21, ACH Airbnb LTD,"USD1,632.07 "
May 26th 22,UBER-shelL oIL [AUTO],$828
Apr 25 2024, OS Lyft.COM,435.41
Dec 7 2022,#dOORdaSH*oRDER,$ 1467.94
3/26/2023, Lyft Ride,USD1843
2022-06-08, ACH InstacLrt [AUTO],$ 939.54
10 Mar 2024, .*UBR POS Amzn ,-1774.76USD
11 Apr 2021,spotfy  (ONLINE),$ 1620
Dec 6th 23,POS  uber  (ONLINE),"$1,647.10"
Mar 3rd 22,GOOGLE *SERVICES (ONLINE) ,"USD 1,070.54"
5 May 2023,UBER-ubJr.COM,$1142.22
Oct 16 2021,airbnb [ATO] .*UBR,"$ 1,519.75"
1 Feb 2022,PAYPAL*Uber eATS [TRIP],"USD1,247.69"
7 May 22,+ ACH SpOTiFy LTD ,"2,467.62USD"
12 Jan 2024,() amZn TD,486.76
3/8/2020, POS lyft ride,$599.74
9/2/2023,doordash.COM (EATS),641
2 Jan 2020,.*starbucks.COM ,USD 321
28 Nov 2022, [TRIP] #IsTaCArT.COM,USD 1559
3/9/2020,SQ*GOOGLE PLAY *PMT,2352.06 USD
23 Apr 20,INSaCart  (),"USD1,539.88 "
14 Aug 20,POS insTaCART *PMT,$668.58
12/31/2020,PAYDAL*starbucks,$ 1684
30-5-22,ACH  C.*UBRD  ,$967.32
Oct 30th 23,(EATS) MCDONALDS [AUTO],USD713 
20-11-20,CAR  wASH  pro  ,1117.11 USD
24 Jun 21,waL-maRt  (ONLINE)  (), 733.65
2020-08-18, POS Netflix.Com.COM ,$1168.91
21-11-23,netflix.com,633.09
14-9-21,Lyft  INC,USD 1392
27 Feb 24,ACH  INSTACART  *PT,"1,550.58USD"
8-7-21,  []  panda  express  (ONLINE)  ,1187.21USD
30-6-21,PAYAL*Instacart [AUTO] [TRIP], $ 122
Jun 5th 22,LYFT (ONLINE) ,"$1,231.29"
Aug 31 2020,ACH costco wholesle *PMT,404.21USD
2021-3-4,() ACH Instacart,USD 857.19
